movie_name,ranking,score,score_num
肖申克的救赎,1,9.6,1470979
霸王别姬,2,9.6,1090195
这个杀手不太冷,3,9.4,1338245
阿甘正传,4,9.4,1156298
美丽人生,5,9.5,677897
泰坦尼克号,6,9.4,1097467
千与千寻,7,9.3,1160298
辛德勒的名单,8,9.5,603423
盗梦空间,9,9.3,1153800
忠犬八公的故事,10,9.3,766532
机器人总动员,11,9.3,764114
三傻大闹宝莱坞,12,9.2,1039295
海上钢琴师,13,9.2,849920
放牛班的春天,14,9.3,722297
楚门的世界,15,9.2,801858
大话西游之大圣娶亲,16,9.2,806031
星际穿越,17,9.2,827462
龙猫,18,9.2,715676
教父,19,9.3,521416
熔炉,20,9.3,471602
无间道,21,9.2,663354
疯狂动物城,22,9.2,917818
当幸福来敲门,23,9.0,843610
怦然心动,24,9.0,935697
触不可及,25,9.2,554881
